,ALL,AAPL,ABT,ABBV,ACN,AMGN,AMZN,AIG,BLK,C,BAC,CAT,BK,AXP,CL,BMY,BIIB,BA,DD,CVS,COST,CMCSA,CSCO,CVX,COP,COF,DHR,EXC,FOXA,F,DUK,FDX,EMR,FB,DOW,FOX,DIS,GOOG,GOOGL,HAL,GM,HON,GILD,HD,GS,GD,GE,LMT,KO,LOW,IBM,INTC,KMI,JPM,JNJ,LLY,MDLZ,MO,MA,MS,MRK,MMM,MDT,MON,MET,MCD,MSFT,OXY,PG,ORCL,NKE,PEP,PM,PFE,NEE,PYPL,TGT,SBUX,T,QCOM,SLB,SPG,TXN,SO,VZ,USB,WFC,UNP,V,WBA,USD,UPS,UNH
1333373400,33.36,22.094,29.383,,65.49,68.11,198.05,31.17,206.29,36.87,9.68,107.25,24.49,58.01,49.22,33.89,127.63,75.17,49.772,45.07,91.84,15.025,21.19,108.3,58.599,56.36,42.509,27.967,,12.62,63.3,92.19,52.54,,,,43.84,322.252,323.784,33.45,26.76,58.27,24.39,49.99,124.9,74.09,154.0,91.16,37.07,31.38,200.258,28.38,39.1,46.13,66.21,40.48,38.38,31.16,43.205,19.81,36.746,89.23,39.54,,33.868,98.36,32.29,93.392,67.56,29.53,27.255,66.74,89.38,21.433,15.458,,58.29,28.335,31.45,68.32,69.84,138.231,33.26,45.06,38.52,31.71,34.51,54.8,29.745,34.16,1.893,80.67,59.12
1333459800,32.9,22.476,29.335,,64.95,67.93,199.66,30.87,206.57,36.37,9.49,106.21,24.67,58.39,49.115,33.87,128.8,74.65,48.462,44.91,90.39,14.83,20.82,107.14,58.172,56.34,42.335,27.767,,12.64,63.42,91.49,51.78,,,,43.29,320.11,321.632,33.6,25.54,57.803,24.05,50.0,122.71,73.1,153.538,91.07,36.88,31.07,200.287,28.11,39.73,45.42,65.88,40.32,38.29,31.09,43.802,19.37,36.947,88.79,39.1,,33.583,99.4,31.94,92.424,67.09,29.39,27.343,66.56,88.98,21.385,15.49,,57.88,28.455,31.43,68.13,69.73,137.912,32.6,45.24,38.46,31.59,34.48,53.875,30.09,33.85,1.846,80.52,59.4
1333546200,32.62,22.297,29.489,,64.44,67.85,193.99,32.52,203.82,35.04,9.2,106.26,24.14,57.37,48.925,33.7,127.82,73.67,47.822,44.31,89.04,14.66,20.36,105.6,58.073,55.39,41.888,27.739,,12.51,63.57,90.64,51.36,,,,42.93,316.389,317.893,33.0,25.1,57.345,23.595,49.85,119.96,72.63,151.846,90.34,36.73,31.27,196.989,27.93,39.22,44.41,65.39,40.33,38.22,31.11,43.094,18.69,37.118,87.84,38.26,,32.816,97.48,31.21,90.46,67.26,29.16,27.372,66.34,89.49,21.243,15.61,,57.82,28.48,31.57,67.39,68.69,137.027,32.16,45.16,38.39,31.31,33.88,54.19,29.745,33.3,1.786,79.86,59.06
1333632600,32.75,22.631,29.412,,64.79,68.02,194.39,32.89,205.98,34.79,9.23,105.87,23.82,58.1,49.08,33.68,128.62,73.59,47.566,44.62,88.65,14.78,20.22,104.75,57.448,55.65,41.789,27.368,,12.47,62.28,90.39,50.96,,,,43.08,314.979,316.476,32.77,24.81,56.716,23.88,50.62,118.0,71.8,149.923,90.15,36.735,31.35,196.434,28.07,39.85,44.34,65.34,40.48,38.04,31.36,43.985,18.39,37.099,87.27,38.2,,32.496,98.62,31.52,89.378,67.31,29.56,27.597,66.15,88.64,21.195,15.72,,57.72,29.09,30.94,67.19,68.42,137.15,32.46,44.97,37.66,31.35,33.73,54.325,30.253,32.84,1.791,80.18,59.01
1333978200,32.39,22.722,29.253,,63.74,67.02,191.87,31.99,202.74,33.97,8.93,103.57,23.34,57.16,48.52,33.04,126.61,72.43,46.242,43.94,87.88,14.665,19.96,103.49,57.212,54.24,41.387,27.268,,12.22,61.83,88.47,50.34,,,,42.11,314.242,315.736,32.38,24.2,55.191,23.295,50.58,117.02,70.82,147.692,88.74,36.435,31.09,195.927,27.76,39.38,43.89,64.92,39.72,37.59,31.16,43.929,17.98,36.956,86.33,37.75,,31.854,98.88,31.1,87.548,66.81,29.01,27.673,65.35,88.37,20.92,15.658,,57.52,28.71,30.64,66.5,67.59,136.077,32.14,44.72,37.46,31.01,33.42,53.09,29.875,32.56,1.741,79.19,58.14
1334064600,31.97,22.444,28.855,,63.15,66.19,186.98,31.24,198.6,32.86,8.54,100.43,23.11,56.18,48.085,32.47,125.02,70.6,45.118,43.53,86.89,14.325,19.55,101.45,56.175,52.69,40.053,27.111,,11.79,61.11,86.63,49.64,,,,40.99,312.26,313.744,31.99,23.71,53.942,22.885,49.36,114.56,69.48,144.154,87.67,36.01,30.33,193.432,27.45,38.1,42.96,64.2,39.42,37.02,30.95,42.473,17.31,36.689,84.58,37.37,,31.07,97.67,30.47,85.852,66.35,28.35,26.615,64.85,87.05,20.863,15.563,,56.4,28.39,30.13,66.22,67.26,133.33,31.69,44.36,36.8,30.34,32.92,52.49,29.185,32.21,1.692,78.33,57.56
1334151000,32.24,22.364,28.625,,63.62,66.73,187.97,31.87,197.81,33.59,8.86,101.75,23.47,56.95,48.27,32.59,125.03,71.77,45.36,43.75,87.32,14.49,20.02,100.95,56.068,53.73,40.864,27.233,,11.91,61.05,87.91,49.73,,,,41.37,316.793,318.298,32.13,24.03,54.418,22.71,49.75,115.93,69.35,146.231,88.49,36.06,31.02,193.671,27.85,38.23,44.01,64.13,39.47,36.87,31.21,43.004,17.51,36.718,85.35,37.72,,31.488,98.56,30.35,85.085,66.44,28.14,27.063,65.15,87.52,20.825,15.6,,57.2,29.645,30.45,66.22,68.12,134.864,31.99,44.5,37.38,30.87,33.62,52.9,29.345,33.08,1.738,78.79,58.02
1334237400,32.87,22.242,28.654,,64.13,66.92,190.69,33.23,201.71,34.63,9.17,106.44,23.94,58.04,48.72,32.55,125.5,73.5,46.498,43.48,87.18,14.84,20.06,102.59,56.815,54.65,41.312,27.026,,12.07,,89.84,51.02,,,,42.15,324.289,325.831,33.18,24.3,56.049,22.86,50.63,120.39,69.66,148.462,90.17,36.11,31.5,196.291,28.48,38.52,44.84,64.15,39.58,37.14,31.31,43.398,18.22,36.517,86.86,38.24,,32.389,97.64,30.98,87.299,66.09,28.7,27.163,65.38,87.26,20.797,15.63,,57.93,30.315,30.84,68.33,70.34,137.093,32.51,44.76,37.55,31.34,34.02,54.4,30.255,33.29,1.81,79.42,58.46
1334323800,32.3,21.615,28.591,,62.55,65.59,188.46,32.48,197.81,33.41,8.68,105.89,23.11,57.28,48.605,32.54,125.34,72.92,47.253,43.43,86.32,14.75,19.85,100.78,56.129,53.47,40.849,26.74,,11.92,61.23,88.03,50.09,,,,41.85,311.134,312.613,32.41,23.8,55.362,22.755,50.96,115.09,68.88,145.231,89.3,35.97,31.69,193.881,28.09,38.41,43.21,63.54,39.18,37.35,31.49,44.046,17.28,36.05,85.69,37.51,,31.765,96.97,30.81,84.855,65.81,28.56,27.292,65.06,87.84,20.731,15.52,,57.43,30.835,30.54,66.67,68.38,136.162,32.18,44.74,37.26,30.9,32.84,54.02,30.79,33.04,1.747,79.56,58.05
1334583000,32.47,20.719,28.716,,61.88,66.26,185.5,32.81,198.18,34.0,8.79,106.74,23.29,57.83,48.835,32.93,125.78,72.68,47.822,43.61,86.88,14.885,19.73,101.51,56.282,53.28,40.97,26.969,,11.88,61.89,88.18,50.2,,,,41.66,301.903,303.338,32.06,23.42,55.295,22.93,51.69,117.73,69.2,145.385,89.57,36.22,32.05,193.805,28.41,37.7,43.33,63.98,39.6,37.58,31.38,43.266,17.5,36.212,86.4,37.55,,31.631,96.58,31.08,83.6,66.78,28.64,27.35,65.99,87.04,20.854,15.68,,57.39,29.825,30.61,66.25,67.44,139.831,32.2,45.18,37.43,31.16,33.15,54.045,30.208,33.3,1.757,79.56,57.36
1334669400,32.88,21.775,28.994,,64.18,67.35,188.39,32.72,201.81,35.08,8.92,108.41,23.8,58.18,49.295,33.39,128.42,74.09,49.274,43.94,87.67,15.045,20.08,103.62,56.61,54.02,41.539,27.154,,11.91,62.46,90.46,51.08,,,,42.68,303.647,305.09,32.66,24.04,56.182,23.34,52.03,116.86,69.88,148.769,90.6,36.975,32.08,198.327,28.47,37.24,43.9,64.22,40.06,38.48,31.61,43.843,17.85,36.746,87.45,38.02,,32.344,97.11,31.44,85.009,67.02,29.28,27.458,66.4,87.45,21.167,15.755,,57.6,29.33,30.89,67.23,69.35,140.659,32.78,45.39,37.74,31.55,33.68,54.6,30.52,35.07,1.805,80.3,58.1
1334755800,32.98,21.726,29.009,,63.56,67.15,191.07,32.59,196.01,35.08,8.92,109.21,23.08,58.04,49.25,33.57,126.54,73.71,49.259,43.6,88.07,14.93,20.06,103.39,55.87,54.26,41.463,26.854,,11.79,63.06,90.39,50.55,,,,42.49,302.591,304.029,34.17,24.15,55.991,23.305,51.81,115.33,69.55,146.923,90.37,37.085,31.96,191.329,27.95,37.25,43.29,63.26,39.7,38.24,31.66,43.67,17.66,36.641,87.13,38.02,,31.907,97.34,31.14,84.281,66.75,29.13,27.64,66.21,87.74,21.3,15.7,,57.38,30.165,30.75,66.99,69.93,140.188,32.72,45.55,37.66,31.3,33.57,54.825,30.445,35.51,1.76,80.49,57.32
1334842200,32.81,20.98,28.553,,63.05,67.13,191.1,32.27,190.6,34.85,8.77,107.36,22.76,57.57,49.09,33.93,125.95,73.1,49.758,43.33,87.12,14.74,19.91,102.51,55.565,53.93,40.182,26.826,,11.66,62.61,89.39,50.08,,,,42.08,298.531,299.95,33.98,24.01,55.295,26.125,51.56,113.6,68.93,147.231,90.34,36.91,32.0,190.736,27.69,36.73,43.22,63.03,39.75,38.2,31.78,43.682,18.07,36.603,86.8,37.92,,31.533,95.28,31.01,84.52,66.57,29.01,27.403,66.15,86.75,21.195,15.68,,56.79,29.405,30.74,62.56,69.8,139.285,32.64,45.5,38.15,31.22,33.12,52.85,30.298,35.63,1.731,79.86,58.71
1334928600,32.65,20.464,28.73,,63.4,68.47,189.98,32.06,190.4,33.89,8.36,107.73,22.85,57.45,49.44,34.23,127.23,73.55,50.256,44.33,87.58,14.725,19.91,102.52,55.558,53.85,40.288,26.926,,11.41,63.03,89.67,50.27,,,,42.35,296.917,298.328,33.29,23.6,56.621,25.5,51.46,112.44,69.76,148.923,90.84,37.065,31.65,190.822,27.6,36.16,42.72,63.71,39.91,38.54,31.89,44.044,17.48,36.956,87.48,37.61,,31.159,95.94,32.42,84.894,67.51,28.88,27.692,66.63,87.81,21.404,15.865,,57.28,29.58,30.86,62.25,71.7,141.214,32.47,45.83,38.73,31.29,33.0,53.63,30.253,35.93,1.672,80.27,59.51
1335187800,32.46,20.418,28.726,,63.03,68.29,188.24,32.09,186.94,33.25,8.18,106.9,22.69,57.32,48.86,33.94,125.85,72.86,49.473,43.25,86.62,14.52,19.68,102.44,55.138,54.08,39.977,26.883,,11.35,62.79,88.11,49.95,,,,42.01,297.684,299.099,32.95,22.95,56.439,25.705,51.1,111.75,69.27,146.692,90.53,36.845,31.12,189.885,27.45,35.11,42.85,63.37,39.81,37.99,31.76,43.026,16.98,36.517,87.13,37.17,,31.542,95.19,32.12,84.233,66.65,28.48,27.438,66.18,86.94,21.233,15.835,,56.64,29.28,30.61,61.56,71.19,139.812,31.89,45.58,38.57,31.21,32.69,54.5,29.525,35.4,1.639,79.03,59.19
1335274200,32.81,20.01,29.138,,62.82,68.63,190.33,32.4,188.57,33.42,8.21,108.4,23.24,57.63,49.215,33.97,127.74,73.21,49.288,43.42,86.43,14.675,19.42,103.03,54.795,54.36,40.334,27.061,,11.39,63.54,88.94,50.91,,,,42.18,299.512,300.936,33.38,22.89,57.135,26.18,51.23,114.11,70.06,150.308,91.13,37.06,31.38,191.205,27.31,35.09,43.28,63.77,39.96,38.36,31.7,43.03,17.4,36.517,88.49,37.12,,31.711,94.59,31.92,84.52,67.0,28.69,26.688,66.51,86.17,,15.975,,56.73,29.025,31.72,61.86,72.71,141.928,31.36,45.87,39.5,31.62,33.07,55.26,29.733,35.24,1.616,79.46,58.72
1335360600,33.29,21.786,29.556,,64.06,70.19,194.42,32.83,191.4,33.68,8.26,103.44,23.65,58.91,49.79,34.29,129.29,77.08,51.352,43.8,87.28,14.825,19.49,103.85,54.14,54.92,40.485,27.218,,11.73,63.87,88.22,51.25,,,,42.7,303.722,305.165,33.54,23.31,57.66,26.285,51.91,113.98,67.56,149.615,90.98,37.465,31.73,194.618,27.86,35.92,43.16,64.43,40.8,38.74,31.69,44.506,17.14,36.67,88.8,37.2,,32.059,95.22,32.2,86.331,66.89,28.87,27.257,66.67,87.64,21.708,16.103,,56.83,29.75,31.74,63.26,74.46,143.631,31.97,45.48,39.48,31.68,33.35,56.745,30.448,35.3,1.684,79.65,58.87
1335447000,33.92,21.704,29.68,,64.34,70.79,195.99,33.71,193.25,33.88,8.27,104.39,23.7,59.59,49.735,33.76,130.8,76.99,49.601,44.58,88.08,15.12,19.6,106.22,55.032,54.84,41.024,27.525,,11.87,64.14,87.55,51.88,,,,43.36,306.586,308.043,33.45,23.72,58.156,26.36,51.87,114.56,67.05,150.923,91.7,37.855,31.43,196.539,28.22,35.68,43.8,64.75,40.88,39.0,31.93,45.398,17.21,36.708,89.32,37.1,,32.504,95.83,32.11,88.046,66.87,29.02,27.587,66.37,88.55,21.879,16.108,,57.49,30.33,32.44,63.91,74.25,143.17,31.95,45.89,40.14,32.1,33.84,56.685,30.798,35.39,1.726,78.25,58.37
1335533400,33.55,21.536,29.743,,65.02,71.64,226.85,34.46,192.5,33.5,8.25,104.56,23.84,60.17,49.19,33.32,133.16,77.27,49.43,44.88,88.69,15.14,19.98,106.2,54.872,56.06,41.463,27.76,,11.6,64.29,88.24,52.67,,,,43.35,306.342,307.798,33.24,23.53,58.432,26.08,51.95,114.41,67.58,152.154,91.3,38.315,31.61,197.715,28.38,35.84,43.34,64.84,41.3,39.4,32.13,45.758,16.95,36.698,89.36,37.69,,32.362,97.38,31.98,87.893,64.44,29.24,27.66,66.1,89.81,21.898,16.135,,58.26,28.715,32.67,64.18,73.95,146.124,32.17,45.99,40.23,32.43,33.77,56.945,30.88,35.67,1.742,78.44,57.91
1335792600,33.33,20.856,29.776,,64.95,71.11,231.9,34.03,191.58,33.04,8.11,102.77,23.65,60.21,49.47,33.37,134.01,76.8,48.22,44.62,88.18,15.175,20.16,106.56,54.605,55.48,41.107,27.825,,11.28,64.29,88.24,52.54,,,,43.11,301.296,302.728,34.22,23.0,57.831,26.01,51.79,115.15,67.5,150.615,90.54,38.16,31.47,197.973,28.4,35.9,42.98,65.1,41.39,39.87,32.21,45.227,17.28,37.443,89.36,38.2,,32.112,97.45,32.02,87.394,63.64,29.4,27.968,66.0,89.51,21.727,16.087,,57.94,28.685,32.91,63.83,74.14,146.378,31.94,45.94,40.38,32.17,33.42,56.22,30.745,35.06,1.735,78.14,56.15
1335879000,33.39,20.79,29.858,,65.0,70.69,230.04,34.34,190.5,33.6,8.31,102.11,23.93,60.97,49.55,33.52,131.83,77.25,48.178,44.71,86.97,15.3,19.98,108.27,56.51,56.02,41.387,28.031,,11.23,64.59,89.04,49.18,,,,43.79,301.086,302.518,35.03,23.31,58.089,25.72,52.32,115.33,67.98,152.308,90.55,38.465,31.61,198.853,28.95,36.42,43.79,65.22,41.24,39.76,32.42,45.59,17.49,37.567,89.6,38.48,,32.157,97.2,32.01,88.994,63.57,29.57,27.825,66.49,90.0,21.613,15.948,,58.01,28.83,33.06,63.64,75.13,148.241,31.85,46.14,40.56,32.29,34.09,57.405,30.772,34.72,1.763,78.47,57.13
1335965400,32.91,20.928,30.059,,65.13,71.17,230.25,34.76,188.78,32.7,8.16,102.63,23.91,61.05,50.175,33.49,135.16,77.26,47.466,45.92,86.64,15.21,19.84,107.03,54.59,56.08,41.289,28.017,,11.1,64.44,89.35,49.5,,,,43.54,302.496,303.934,34.49,22.93,57.812,25.94,52.71,113.77,68.24,152.077,90.08,38.58,32.1,198.91,29.18,36.37,43.2,65.33,41.48,39.7,32.37,45.145,16.95,37.49,89.52,38.38,,31.925,97.51,31.8,88.506,63.98,29.71,28.57,66.83,90.31,21.499,15.948,,57.98,28.96,33.04,64.24,74.17,147.686,32.09,45.9,40.6,32.04,33.57,57.52,30.548,34.15,1.777,78.42,56.66
1336051800,34.23,20.779,30.251,,64.21,70.91,229.45,34.14,183.16,32.48,8.0,100.67,23.48,60.86,49.995,33.5,134.26,76.83,46.769,46.14,84.24,15.18,19.72,105.99,54.26,55.56,40.872,27.689,,10.92,64.2,88.86,49.36,,,,43.81,304.369,305.816,34.06,22.37,57.65,25.695,52.47,111.53,68.15,150.846,89.47,38.72,31.66,198.126,28.56,35.75,43.01,65.34,41.27,39.59,32.55,44.243,16.23,37.376,89.39,38.54,,31.337,97.04,31.76,86.053,64.51,29.38,28.6,66.91,89.96,21.442,15.9,,56.55,28.325,33.11,63.55,72.61,146.294,31.39,45.19,40.64,31.94,33.39,57.03,29.103,33.84,1.698,78.07,55.72
1336138200,34.2,20.188,29.944,,62.61,69.77,223.99,32.83,183.17,31.6,7.74,98.44,23.07,60.1,49.565,33.37,130.97,75.84,46.014,45.42,83.39,14.725,19.12,103.72,53.17,54.52,40.637,27.482,,10.67,64.68,89.3,48.73,,,,42.93,297.37,298.784,32.53,22.36,56.544,25.135,51.96,108.99,67.05,148.769,87.83,38.5,31.09,195.975,27.9,35.25,41.75,64.74,41.28,39.25,32.43,43.969,16.0,37.061,88.67,38.15,,30.517,95.87,30.98,84.194,64.28,28.41,27.952,65.9,89.13,21.233,15.892,,55.65,27.78,32.86,61.91,69.96,145.052,30.59,45.36,40.26,31.67,33.03,56.8,29.448,33.65,1.625,77.73,54.72
1336397400,34.26,20.339,29.992,,60.22,69.61,225.16,31.84,183.82,31.67,7.96,97.19,23.1,60.1,49.8,33.46,132.51,75.96,45.957,45.26,83.15,14.815,19.08,103.31,53.35,54.65,40.66,27.24,,10.66,64.41,89.37,48.7,,,,43.82,302.641,304.079,32.42,22.41,56.745,24.95,51.39,110.04,67.42,148.615,87.31,38.64,30.79,194.79,27.76,35.15,41.78,64.8,41.61,39.26,32.2,43.612,16.15,36.775,88.01,38.08,,30.793,95.51,30.65,84.022,64.25,27.92,27.855,66.62,88.28,21.3,16.035,,55.76,27.74,33.0,61.92,70.6,145.88,30.61,45.44,40.53,31.84,33.5,56.815,29.628,33.57,1.61,77.8,55.25
1336483800,34.69,20.292,30.035,,59.34,70.7,223.9,31.7,182.34,31.32,7.79,96.49,22.87,59.89,49.59,33.21,132.93,75.4,45.701,45.27,82.64,,18.71,102.84,54.31,54.07,41.069,27.218,,10.61,64.65,88.96,49.16,,,,44.3,305.251,306.702,32.69,22.23,56.602,24.73,50.62,109.37,67.53,148.077,87.13,38.57,30.67,192.62,27.37,34.97,41.38,64.98,41.62,39.17,32.26,43.164,15.84,36.861,87.56,38.22,,30.695,93.55,30.5,83.284,64.16,27.93,27.183,66.52,87.72,21.271,16.05,,55.55,27.095,33.04,62.67,70.39,146.199,30.63,45.7,40.55,31.57,33.15,56.54,29.535,34.09,1.582,77.66,55.82
1336570200,34.31,20.328,29.378,,59.22,69.62,222.98,31.83,180.27,30.45,7.73,95.99,22.19,59.46,49.54,32.81,132.51,74.05,45.73,45.23,82.62,14.585,18.78,101.78,53.47,53.53,40.834,27.332,,10.69,64.8,87.13,48.16,,,,45.02,303.438,304.88,32.42,22.44,55.648,25.32,50.11,107.29,66.4,145.462,85.95,38.39,30.34,192.38,27.19,34.08,40.64,64.28,41.3,38.87,31.75,42.283,15.49,36.345,87.27,38.03,,30.232,91.93,30.76,80.745,63.67,27.78,27.038,65.94,85.64,21.3,16.038,,55.28,27.05,32.81,62.01,69.64,145.55,30.6,45.37,40.25,31.47,32.63,55.945,29.355,33.93,1.57,77.15,55.22
1336656600,34.6,20.376,29.853,,58.7,70.09,226.69,32.14,179.68,30.65,7.7,95.44,22.23,59.42,49.825,33.19,134.31,73.8,45.815,45.97,83.88,14.815,16.81,103.36,54.22,54.31,40.735,27.775,,10.71,65.37,86.65,48.5,,,,45.28,305.684,307.137,32.31,22.37,55.839,25.625,50.62,106.32,66.54,146.846,86.12,38.705,30.18,191.778,27.24,34.3,40.74,64.57,41.75,39.06,31.73,42.298,15.6,36.632,87.13,38.42,,30.847,91.87,30.74,81.454,64.14,27.02,26.89,66.79,86.16,21.66,16.272,,55.31,27.425,33.13,62.48,69.44,145.748,30.78,45.65,40.55,31.91,33.19,56.205,29.542,34.05,1.564,76.61,55.29
1336743000,34.83,20.24,29.767,,58.61,70.78,227.68,31.75,179.77,29.35,7.55,95.5,22.09,59.64,49.655,33.11,136.71,73.56,45.758,45.32,84.6,14.69,16.51,102.69,53.5,54.37,40.682,27.746,,10.58,65.16,87.8,48.18,,,,45.56,301.485,302.918,31.83,22.0,55.82,25.92,50.34,102.13,66.53,146.231,85.21,38.735,29.62,192.323,27.63,33.99,36.96,64.34,41.26,39.04,31.79,42.24,14.95,36.288,86.73,38.03,,30.918,91.9,31.16,80.247,63.68,27.0,27.065,66.8,86.15,21.49,16.292,,55.43,27.505,33.59,61.86,68.8,146.83,30.74,45.54,41.16,32.21,33.31,56.09,29.48,33.24,1.592,76.43,55.2
1337002200,34.4,19.936,29.594,,58.81,70.2,222.93,31.3,176.49,28.14,7.35,93.6,21.4,58.42,49.505,32.91,136.87,73.12,45.075,45.12,84.3,14.445,16.71,101.94,52.93,52.31,40.235,27.689,,10.32,65.07,87.78,47.79,,,,45.17,300.872,302.302,31.58,21.63,55.438,26.23,49.88,99.77,66.3,143.077,85.2,38.435,29.56,190.669,27.02,33.55,35.79,63.93,40.93,39.04,31.69,41.444,14.3,36.469,85.83,38.09,,30.374,90.88,30.68,78.235,63.58,26.96,26.868,67.15,85.39,21.433,16.425,,54.92,26.835,33.53,61.46,67.25,145.306,30.63,45.45,40.89,31.56,32.41,55.535,29.18,32.85,1.55,76.21,55.16
1337088600,33.98,19.756,29.695,,58.93,70.68,224.39,30.96,176.85,27.79,7.3,92.68,21.13,57.94,50.52,32.98,137.04,72.58,43.936,45.32,84.58,14.425,16.54,100.9,52.53,51.28,40.114,27.454,,10.15,65.04,87.81,47.52,,,,45.01,304.414,305.861,30.58,21.42,54.8,25.935,48.67,99.87,65.73,141.538,84.59,38.285,29.03,190.287,26.88,33.3,36.24,63.61,40.58,38.82,31.75,41.447,14.14,36.011,85.78,38.15,,29.599,91.01,30.21,76.549,63.72,27.06,26.805,67.85,84.72,21.157,16.41,,55.08,26.67,33.35,61.44,65.52,144.186,30.29,45.4,41.05,31.3,32.24,56.205,29.153,32.88,1.531,76.08,54.94
1337175000,33.43,19.503,30.011,,59.12,70.98,224.06,30.45,175.07,26.92,7.11,91.86,20.81,57.39,50.66,33.02,136.8,72.35,42.912,45.16,84.91,14.425,16.69,100.1,52.32,50.3,39.757,27.375,,10.16,64.17,87.89,47.17,,,,45.08,313.291,314.78,30.2,21.91,54.476,25.79,48.77,98.2,65.2,146.154,84.33,38.165,29.32,190.946,26.5,33.25,35.46,63.71,40.75,38.61,31.86,40.937,13.54,36.479,85.35,38.22,,28.191,91.43,29.9,75.907,64.29,26.72,26.75,68.75,85.24,21.48,16.39,,55.32,26.51,33.19,59.11,64.81,141.43,29.96,45.38,40.88,31.06,31.97,56.0,29.382,32.78,1.486,75.92,54.9
1337261400,32.96,18.933,29.858,,58.39,70.54,218.36,28.47,173.97,26.41,6.98,87.8,20.4,55.65,49.905,32.75,132.88,69.73,41.83,44.87,83.47,14.175,16.55,100.14,51.19,49.8,39.333,27.275,,10.01,64.29,86.77,46.19,,,,44.33,310.362,311.837,30.0,21.61,52.893,25.05,47.02,97.08,63.72,145.231,82.83,37.56,28.37,189.187,26.19,33.0,33.93,63.55,40.53,38.35,31.64,39.858,13.46,36.288,84.34,37.07,,27.496,89.62,29.72,75.371,63.96,26.25,26.085,68.77,84.2,21.404,16.263,,54.81,25.835,33.29,57.16,64.75,137.629,29.35,45.2,41.37,30.65,31.44,54.08,28.753,31.87,1.434,74.81,54.88
1337347800,32.75,18.942,29.541,,57.65,69.15,213.85,28.33,171.91,26.01,7.02,88.68,20.24,55.4,49.395,32.72,131.58,69.15,41.915,44.43,82.94,14.14,16.47,98.46,50.82,49.13,39.098,27.026,,10.01,64.38,85.07,45.93,38.23,,,43.81,299.079,300.5,29.93,21.18,52.655,24.97,47.05,95.49,63.34,145.769,82.78,37.025,28.48,187.266,26.07,32.5,33.49,63.35,40.44,38.49,31.68,39.456,13.35,36.088,83.51,36.96,,26.925,89.85,29.27,76.31,63.52,25.61,26.36,68.12,84.3,21.414,16.25,,55.46,25.765,33.66,55.98,64.06,135.786,28.73,45.48,41.53,30.27,30.94,53.585,28.16,31.31,1.394,74.03,53.99
1337607000,33.2,20.046,29.656,,59.07,69.32,218.11,29.44,167.73,26.25,6.83,91.98,20.37,56.33,49.48,32.71,132.26,71.78,43.467,44.88,83.73,14.355,16.67,99.69,51.77,49.88,39.939,26.476,,10.2,64.17,86.7,46.77,34.03,,,44.39,305.908,307.362,31.17,21.54,54.371,25.445,47.61,96.51,64.55,147.077,83.63,37.255,25.6,189.063,26.15,33.36,32.51,63.47,40.63,38.59,31.85,41.058,13.19,35.878,84.46,37.7,,27.549,91.27,29.75,77.478,63.39,26.26,26.808,67.98,84.74,21.385,16.3,,55.83,26.85,33.63,57.22,66.76,138.73,29.48,45.51,41.34,30.72,31.4,55.09,29.055,31.35,1.442,74.64,55.55
1337693400,32.84,19.892,29.743,,58.93,68.91,215.33,29.33,163.37,26.92,6.98,91.49,20.39,56.35,49.595,32.83,132.33,71.48,43.381,44.94,83.38,14.47,16.73,99.32,51.67,50.29,39.507,26.441,,10.19,64.95,86.85,47.18,31.0,,,44.39,299.278,300.701,30.78,21.5,54.609,25.235,48.26,97.53,64.47,147.538,83.69,37.095,25.49,188.164,26.03,33.8,34.01,63.52,41.0,38.81,31.76,41.344,13.31,35.744,84.13,36.96,,27.692,91.34,29.76,77.45,63.15,26.36,27.112,68.08,85.06,21.224,16.403,,56.67,26.685,33.54,57.93,66.4,139.022,29.36,45.55,41.39,31.0,31.67,55.69,29.597,31.25,1.415,74.76,55.72
1337779800,33.09,20.377,29.445,,58.91,68.38,217.28,29.26,167.5,27.15,7.17,92.47,20.5,55.97,49.195,32.52,131.5,71.57,43.438,44.79,83.31,14.395,16.69,99.0,52.09,50.34,39.992,26.255,,10.41,64.8,88.74,47.86,32.0,,,44.21,303.592,305.035,31.32,22.13,54.933,25.1,48.74,98.04,64.61,147.538,83.35,37.275,26.19,187.495,25.44,33.16,34.26,63.27,40.67,38.4,31.72,41.709,13.37,35.63,84.8,36.79,,27.594,91.48,29.11,77.708,62.39,26.68,26.88,68.0,84.33,20.958,16.235,,56.78,27.645,33.36,58.14,67.18,139.144,29.14,45.37,41.28,31.09,,56.245,29.792,31.29,1.399,75.0,55.36
1337866200,33.43,20.19,29.949,,57.99,69.1,215.24,29.41,170.44,26.66,7.14,91.42,20.73,56.34,49.565,32.99,131.65,71.39,44.904,45.17,84.48,14.465,16.39,100.06,52.14,51.72,40.053,26.291,,10.59,65.4,90.02,47.7,33.03,,,44.44,300.703,302.132,31.41,22.04,54.599,25.31,49.71,96.86,63.34,148.077,83.37,37.78,27.1,187.467,25.65,32.11,33.97,63.1,41.16,38.69,32.26,41.983,13.31,35.878,84.98,37.07,,27.317,91.53,29.07,77.967,62.57,26.12,26.87,68.81,85.34,21.006,16.257,,57.25,27.38,33.64,57.15,65.85,140.198,28.89,45.6,41.39,31.13,31.81,56.445,29.942,31.26,1.383,75.18,56.22
